Date,ADS_Index
1960:03:01,-0.58032
1960:03:02,-0.627497
1960:03:03,-0.671697
1960:03:04,-0.712936
1960:03:05,-0.751225
1960:03:06,-0.786577
1960:03:07,-0.819003
1960:03:08,-0.848513
1960:03:09,-0.875116
1960:03:10,-0.898821
1960:03:11,-0.919634
1960:03:12,-0.937564
1960:03:13,-0.952615
1960:03:14,-0.964791
1960:03:15,-0.974098
1960:03:16,-0.980537
1960:03:17,-0.984111
1960:03:18,-0.984821
1960:03:19,-0.982667
1960:03:20,-0.977648
1960:03:21,-0.969764
1960:03:22,-0.95901
1960:03:23,-0.945385
1960:03:24,-0.928883
1960:03:25,-0.9095
1960:03:26,-0.88723
1960:03:27,-0.862065
1960:03:28,-0.833997
1960:03:29,-0.803018
1960:03:30,-0.769118
1960:03:31,-0.732286
1960:04:01,-0.692512
1960:04:02,-0.656009
1960:04:03,-0.622766
1960:04:04,-0.592773
1960:04:05,-0.566021
1960:04:06,-0.5425
1960:04:07,-0.522205
1960:04:08,-0.505127
1960:04:09,-0.491263
1960:04:10,-0.480607
1960:04:11,-0.473156
1960:04:12,-0.468909
1960:04:13,-0.467862
1960:04:14,-0.470017
1960:04:15,-0.475374
1960:04:16,-0.483935
1960:04:17,-0.495701
1960:04:18,-0.510678
1960:04:19,-0.528869
1960:04:20,-0.550281
1960:04:21,-0.57492
1960:04:22,-0.602793
1960:04:23,-0.633911
1960:04:24,-0.668281
1960:04:25,-0.705916
1960:04:26,-0.746827
1960:04:27,-0.791027
1960:04:28,-0.838529
1960:04:29,-0.889349
1960:04:30,-0.943503
1960:05:01,-1.00101
1960:05:02,-1.05637
1960:05:03,-1.1096
1960:05:04,-1.16073
1960:05:05,-1.20976
1960:05:06,-1.25671
1960:05:07,-1.3016
1960:05:08,-1.34444
1960:05:09,-1.38525
1960:05:10,-1.42403
1960:05:11,-1.4608
1960:05:12,-1.49557
1960:05:13,-1.52836
1960:05:14,-1.55916
1960:05:15,-1.588
1960:05:16,-1.61488
1960:05:17,-1.6398
1960:05:18,-1.66279
1960:05:19,-1.68384
1960:05:20,-1.70296
1960:05:21,-1.72015
1960:05:22,-1.73543
1960:05:23,-1.7488
1960:05:24,-1.76025
1960:05:25,-1.7698
1960:05:26,-1.77745
1960:05:27,-1.7832
1960:05:28,-1.78706
1960:05:29,-1.78901
1960:05:30,-1.78907
1960:05:31,-1.78723
1960:06:01,-1.7835
1960:06:02,-1.77894
1960:06:03,-1.77355
1960:06:04,-1.76733
1960:06:05,-1.76027
1960:06:06,-1.75238
1960:06:07,-1.74365
1960:06:08,-1.73409
1960:06:09,-1.72368
1960:06:10,-1.71242
1960:06:11,-1.70031
1960:06:12,-1.68735
1960:06:13,-1.67353
1960:06:14,-1.65885
1960:06:15,-1.6433
1960:06:16,-1.62688
1960:06:17,-1.60958
1960:06:18,-1.5914
1960:06:19,-1.57233
1960:06:20,-1.55237
1960:06:21,-1.5315
1960:06:22,-1.50973
1960:06:23,-1.48705
1960:06:24,-1.46344
1960:06:25,-1.43891
1960:06:26,-1.41344
1960:06:27,-1.38703
1960:06:28,-1.35966
1960:06:29,-1.33133
1960:06:30,-1.30204
1960:07:01,-1.27176
1960:07:02,-1.24238
1960:07:03,-1.21389
1960:07:04,-1.18628
1960:07:05,-1.15954
1960:07:06,-1.13366
1960:07:07,-1.10864
1960:07:08,-1.08446
1960:07:09,-1.06112
1960:07:10,-1.03861
1960:07:11,-1.01693
1960:07:12,-0.99606
1960:07:13,-0.976004
1960:07:14,-0.956752
1960:07:15,-0.938299
1960:07:16,-0.920639
1960:07:17,-0.903765
1960:07:18,-0.887674
1960:07:19,-0.872359
1960:07:20,-0.857816
1960:07:21,-0.844041
1960:07:22,-0.831028
1960:07:23,-0.818774
1960:07:24,-0.807276
1960:07:25,-0.796529
1960:07:26,-0.78653
1960:07:27,-0.777276
1960:07:28,-0.768764
1960:07:29,-0.760992
1960:07:30,-0.753956
1960:07:31,-0.747655
1960:08:01,-0.742087
1960:08:02,-0.737388
1960:08:03,-0.733556
1960:08:04,-0.730591
1960:08:05,-0.728491
1960:08:06,-0.727255
1960:08:07,-0.726884
1960:08:08,-0.727377
1960:08:09,-0.728735
1960:08:10,-0.730957
1960:08:11,-0.734044
1960:08:12,-0.737999
1960:08:13,-0.74282
1960:08:14,-0.748511
